AAMNAU21XXX,P2RDB7VTIK5CW1CMC866,ADVANCE ASSET MANAGEMENT LIMITED,,,,,,,,,,,,,
AAMSUS31XXX,549300FZB4XB5JCHXV67,"FIRST EAGLE INVESTMENT MANAGEMENT, LLC",,,,,,,,,,,,,
AANAFRP1XXX,635400WJHEN4C4VOVO24,Pioneer Global Investments Limited,,,,,,,,,,,,,
AANAFRP1XXX,DQ2T0MMUTO0IPF9G9Z35,AMUNDI ASSET MANAGEMENT,,,,,,,,,,,,,
AANLGB21XXX,213800GWRS99DHF7K418,ALKEN ASSET MANAGEMENT LTD.,,,,,,,,,,,,,
AANLGB31XXX,213800GWRS99DHF7K418,ALKEN ASSET MANAGEMENT LTD.,,,,,,,,,,,,,
AAOAIT21XXX,815600F3EC59FFEC6594,CARRARO S.P.A.,,,,,,,,,,,,,
AAOGGB21XXX,2138009E8SY23133YR81,RBS HG (UK) LIMITED,,,,,,,,,,,,,
AAOLUS66XXX,549300EYF7YJFPRU1G96,"ARENA CAPITAL ADVISORS, LLC",,,,,,,,,,,,,
AAPAITN1XXX,81560089422510508B85,SAPA S.P.A.,,,,,,,,,,,,,
AAPLIT21XXX,815600A6562314270809,ALBA 8 SPV S.R.L.,,,,,,,,,,,,,
AAPSIT21XXX,81560053B67B68EEB661,ALBA 6 SPV S.R.L.,,,,,,,,,,,,,
AARADE31XXX,529900977LETWLJF3295,ASSEKURATA Assekuranz Rating-Agentur GmbH,,,,,,,,,,,,,
AARBDE5WXXX,EZKODONU5TYHW4PP1R34,Aareal Bank AG,,,,,,,,,,,,,
AARBFRP1XXX,529900KX8NSKVWTVAP51,Aareal Bank AG,,,,,,,,,,,,,
AARCFRP1XXX,9695004OKYCJGH762G97,CAISS RETRA COMPL CLERC EMPLO HUISS JUST,,,,,,,,,,,,,
AARIDE61XXX,529900T56CYNGHJX8T33,Schroder Real Estate Kapitalverwaltungsgesellschaft mbH,,,,,,,,,,,,,
AASANO21XXX,5967007LIEEXZX79E080,Aasen Sparebank,,,,,,,,,,,,,
AASFFRP1XXX,969500YJY4RI3MLXZB49,UNIGRAINS PARTENAIRE,,,,,,,,,,,,,
AATAATW1XXX,529900OSPW5BN7DQQU67,"AirPlus"" Air Travel Card Vertriebsgesellschaft m.b.H.""",,,,,,,,,,,,,
AATBITM2XXX,815600F4EBB5B75F1D17,AUTO ABS ITALIAN BALLOON 2019-1 S.R.L.,,,,,,,,,,,,,
AATTITG1XXX,529900TCQ7FK0S55N796,HITACHI RAIL STS S.P.A.,,,,,,,,,,,,,
AAVEGB22XXX,984500CC363DF4FK5774,AAVE LIMITED,,,,,,,,,,,,,
AAVRIT21XXX,815600F0940B688AA377,ALBA 9 SPV S.R.L.,,,,,,,,,,,,,
AAVSIT21XXX,815600530555DC529635,AGAVE SPV S.R.L.,,,,,,,,,,,,,
AAVULUL1XXX,2221007TDHL8NJ2B3448,AXA ASSURANCES VIE LUXEMBOURG,,,,,,,,,,,,,
AAWMFRPPXXX,969500O7C77E2WVAXK44,ABN AMRO INVESTMENT SOLUTIONS,,,,,,,,,,,,,
ABAAKHPPXXX,5493003OZ08PS8IJMR09,Advanced Bank of Asia Limited,,,,,,,,,,,,,
ABAKDK21XXX,549300GO7SF5HVVJOX58,Absalon Capital Fondsmæglerselskab A/S,,,,,,,,,,,,,
ABAOAU41XXX,21380062NCGSFNJ3LR64,MORGANS FINANCIAL LIMITED,,,,,,,,,,,,,
ABAPIE21XXX,549300EZRLEE2ODR0629,ABBEY CAPITAL LIMITED,,,,,,,,,,,,,
ABAVGB21XXX,ITME2JXGKN2DXQ6A9Y56,ABERDEEN ASSET INVESTMENTS LIMITED,,,,,,,,,,,,,
ABBBIT22XXX,5493003EVPD2RJJGZM30,AMB S.R.L.,,,,,,,,,,,,,
ABBBIT22XXX,8156006ACE25BECB5A97,AMB SPA,,,,,,,,,,,,,
ABBCCHZZXXX,54930003MWB3VEJXZE84,ABB Capital AG,,,,,,,,,,,,,
ABBCNL2AXXX,5493004JXXFB454B6L79,ABB Finance B.V.,,,,,,,,,,,,,
ABBGBHBMXXX,549300Q3SVMKOB8NBS80,AL BARAKA BANKING GROUP B.S.C.,,,,,,,,,,,,,
ABBLBDDHXXX,254900GSWZ4BTRAK8C42,AB Bank Limited,,,,,,,,,,,,,
ABBLINBBXXX,335800VOLFWHZGCROV17,AB BANK LIMITED,,,,,,,,,,,,,
ABBVUS44XXX,FR5LCKFTG8054YNNRU85,ABBVIE INC.,,,,,,,,,,,,,
ABBYGB2LXXX,PTCQB104N23FMNK2RZ28,SANTANDER UK PLC,,,,,,,,,,,,,
ABCBBRSPXXX,549300K1V1WOTCGNSI96,BANCO ABC BRASIL S.A.,,,,,,,,,,,,,
ABCBKYKXXXX,549300LY6TO4QO4YFR78,BANCO ABC BRASIL S.A. - Cayman Islands Branch,,,,,,,,,,,,,
ABCCGB22XXX,213800T9OJMZA69QDM04,SOVA CAPITAL LIMITED,,,,,,,,,,,,,
ABCEGB2LXXX,PQEBSF10YW5QXWIKTJ21,ABC INTERNATIONAL BANK PLC,,,,,,,,,,,,,
ABCHHKHHXXX,984500C9G4Z8908C5060,ALLIED BANKING CORPORATION (HONG KONG) LIMITED,,,,,,,,,,,,,
ABCJJOAMXXX,5586009NS6VRGXQPUK52,Arab Banking Corporation Jordan,,,,,,,,,,,,,
ABCKMUMUXXX,1.325E+19,ABC BANKING CORPORATION LTD,,,,,,,,,,,,,
ABCLKENAXXX,213800LMZUA4SYKUZ262,AFRICAN BANKING CORPORATION LIMITED,,,,,,,,,,,,,
ABCOBHBMXXX,213800NCSKH968YFDB88,المؤسسة العربيه المصرفيه ش.م.ب,,,,,,,,,,,,,
ABCOFRPPXXX,969500090LN710HT1B25,ARAB BANKING CORPORATION SA,,,,,,,,,,,,,
ABCOSGSGXXX,549300MUUU8K18347O59,ARAB BANKING CORPORATION (B.S.C) SINGAPORE BRANCH,,,,,,,,,,,,,
ABCVJOA1XXX,558600W0F2U8Z7N9QX12,Arab Co-operation for Financial Investments co ABC Investments,,,,,,,,,,,,,
ABDIAEADXXX,5493006DOLY8O98XHD74,Abu Dhabi Islamic Bank PJSC,,,,,,,,,,,,,
ABDIEGCAXXX,549300FMPETKV5WPMW57,Abu Dhabi Islamic Bank - Egypt,,,,,,,,,,,,,
ABEASDKHXXX,549300BZGC73FHYP9S05,Arab Bank For Economic Development in Africa,,,,,,,,,,,,,
ABECGB21XXX,213800CJDKL2HYJGF260,ABG SUNDAL COLLIER LIMITED,,,,,,,,,,,,,
ABEGFRP1XXX,969500E0FOS38XJ2E978,CPR ASSET MANAGEMENT,,,,,,,,,,,,,
ABEMAU21XXX,196E9ZZSNIHJQZZY8256,ABRDN AUSTRALIA LTD,,,,,,,,,,,,,
ABENUS31XXX,5493001TUUB0GB6K8B25,Abel/Noser Corp.,,,,,,,,,,,,,
ABERBE22XXX,5493005KJWFEZT2GW729,ABK Bank CVBA,,,,,,,,,,,,,
ABFDGB2LXXX,213800XG8GPDDJ61LE20,ABF INVESTMENTS PLC,,,,,,,,,,,,,
ABFIGB21XXX,213800ZG6QXSK9G9GO74,PGMS (GLASGOW) LIMITED,,,,,,,,,,,,,
ABFKKYKYXXX,213800I2S1GU26ART714,ABC FINANCIAL MARKETS,,,,,,,,,,,,,
ABFMSGS1XXX,549300FVV8VHKPMMRT38,ABRDN ASIA LIMITED,,,,,,,,,,,,,
ABGBUS44XXX,ZF85QS7OXKPBG52R7N18,"Associated Bank, National Association",,,,,,,,,,,,,
